0,1,2
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}"
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}"
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0000167', 'label': 'Huntington disease and related disorders'}"
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0001627', 'label': 'dementia'}"
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0021136', 'label': 'rare'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'MONDO:0042980', 'label': 'Westphal disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000708', 'label': 'Atypical behavior'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000716', 'label': 'Depression'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000737', 'label': 'Irritability'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000752', 'label': 'Hyperactivity'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001251', 'label': 'Ataxia'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001332', 'label': 'Dystonia'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002136', 'label': 'Broad-based gait'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0012547', 'label': 'Abnormal involuntary eye movements'}"
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'HGNC:11007', 'label': 'SLC2A3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}"
"{'id': 'CHEBI:27656', 'label': 'camptothecin'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:46245', 'label': 'coenzyme Q10'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:16919', 'label': 'creatine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:7735', 'label': 'olanzapine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:27881', 'label': 'resveratrol'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:50694', 'label': 'minocycline'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}"
"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001252', 'label': 'Hypotonia'}"
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'HGNC:2518', 'label': 'CTNS'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'HGNC:4332', 'label': 'BICRA'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'MONDO:0018760', 'label': 'DeSanto-Shinawi syndrome'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'MONDO:0100151', 'label': 'nephropathic cystinosis'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'MONDO:0018632', 'label': '11q22.2q22.3 microdeletion syndrome'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'MONDO:0025699', 'label': 'Coffin-Siris syndrome 12'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}"
"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0000496', 'label': 'Abnormality of eye movement'}"
"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002186', 'label': 'Apraxia'}"
"{'id': 'HGNC:61', 'label': 'ABCD1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:620', 'label': 'APP'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:694', 'label': 'ARL3'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:4177', 'label': 'GBA1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:6180', 'label': 'ITPR1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:6250', 'label': 'KCNH1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:6893', 'label': 'MAPT'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:7230', 'label': 'MRE11'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:7608', 'label': 'MYO9A'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
