id,label
NCBIGene:100858928,HRH1
HGNC:12601,USH2A
MONDO:0054794,"hydrocephalus, congenital, 3, with brain anomalies"
HP:0002905,Hyperphosphatemia
MONDO:0016698,ependymoma
CHEBI:4290,"1,1-dimethyl-4-phenylpiperazinium iodide"
HP:0011711,Left anterior fascicular block
NCBIGene:507536,TACO1
HGNC:18212,HPCAL4
HGNC:12518,UCP2
MONDO:0859365,"neurodevelopmental disorder with hypotonia, dysmorphic facies, and skeletal anomalies, with or without seizures"
Xenbase:XB-GENE-493040,hap1
GO:0030667,secretory granule membrane
HGNC:25564,ARL8B
HGNC:9352,PRDX1
HGNC:1722,CDK1
CHEBI:35474,anxiolytic drug
HGNC:4378,GMPS
CHEBI:29035,manganese(2+)
WB:WBGene00020838,trak-1
HGNC:15927,ERGIC3
HGNC:2084,CLPP
CHEBI:47779,aminoglycoside
HGNC:17175,PLCE1
MONDO:0012246,spinocerebellar ataxia type 26
MGI:1916847,Afg3l2
HGNC:12613,USP15
FB:FBgn0037153,olf413
HGNC:8858,PEX3
HGNC:29955,SLC51A
HP:0031825,Freezing of gait
CHEBI:39447,pyrimidines
NCBIGene:476722,NDUFA7
MONDO:0009133,"cerebellar ataxia, intellectual disability, and dysequilibrium"
GO:0008092,cytoskeletal protein binding
HP:0002131,Episodic ataxia
HGNC:16277,TRIM6
Reactome:R-HSA-211945,Phase I - Functionalization of compounds
MONDO:0003351,colon leiomyosarcoma
HGNC:7179,ALDH6A1
CHEBI:63726,neuroprotective agent
HGNC:21359,HMGCLL1
HGNC:5286,HTR1A
HGNC:11535,TAF1
HGNC:29148,FBXO45
MONDO:0018851,familial keratoacanthoma
RGD:3704,Slc2a1
HP:0002148,Hypophosphatemia
HGNC:27265,UBXN2A
HGNC:9949,RECQL4
MONDO:0018222,obsolete X-linked intellectual disability due to GRIA3 anomalies
HGNC:11037,SLC5A2
UBERON:0007808,adipose tissue of abdominal region
HGNC:25321,SHARPIN
HP:0033229,Brachioradialis areflexia
MONDO:0023249,polyarticular juvenile rheumatoid arthritis
MONDO:0044807,inherited dystonia
CHEBI:17549,5-aminolevulinic acid
HP:0011153,Focal motor seizure
GO:0015370,solute:sodium symporter activity
UBERON:0001150,body of pancreas
Reactome:R-DDI-425366,"Transport of bile salts and organic acids, metal ions and amine compounds"
NCBIGene:478700,BPHL
HGNC:17888,CRCP
HGNC:4912,HINT1
CHEBI:24031,ferulic acids
HGNC:28913,HSCB
GO:0004346,glucose-6-phosphatase activity
HP:0001310,Dysmetria
GO:0000002,mitochondrial genome maintenance
HP:0002470,Nonprogressive cerebellar ataxia
HP:0002299,Brittle hair
GO:0033282,protein C inhibitor-acrosin complex
MGI:107813,Tubb3
HP:0001266,Choreoathetosis
HGNC:11438,STX3
HGNC:3025,DRD4
HGNC:1553,CBX3
PomBase:SPAC630.03,arp3
HP:0009878,Cerebellar ataxia associated with quadrupedal gait
UBERON:0001697,orbit of skull
CHEBI:32681,L-argininate
MONDO:0030702,autoimmune atherosclerosis
HP:0000565,Esotropia
HGNC:23116,SENP2
HGNC:7758,NEU1
HP:0001955,Unexplained fevers
Reactome:R-GGA-390651,Dopamine receptors
HGNC:6190,JAK1
HGNC:25419,ARL13B
HGNC:14076,CERS2
HGNC:9382,PRKACG
HGNC:4223,MSTN
UPHENO:0084533,hypertrophic muscle of neck
HP:0010828,Hemifacial spasm
CHEBI:529996,cytochalasin D
HGNC:1386,CABP4
HP:0002073,Progressive cerebellar ataxia
HGNC:20182,SLC39A9
MONDO:0009804,osteogenesis imperfecta type 3
HP:0000073,Ureteral duplication
HP:0012167,Hair-pulling
MONDO:0008768,"ceroid lipofuscinosis, neuronal, 6B (Kufs type)"
MONDO:0014698,microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome
HP:0012169,Self-biting
CHEBI:26979,organic heterotricyclic compound
HP:0001350,Slurred speech
HP:0001344,Absent speech
HGNC:9208,POR
HGNC:2240,COPS5
HGNC:115,ACLY
HGNC:9385,PRKAG1
MGI:1351342,Grm5
MONDO:0800112,non-atopic asthma
MGI:2449818,Cyp3a44
HGNC:12468,UBC
UPHENO:0081703,paralysed facial muscle
CHEBI:47898,4'-epidoxorubicin
MONDO:0013584,hereditary sensory neuropathy-deafness-dementia syndrome
HGNC:11919,CD40
HGNC:4279,GJA5
HGNC:9380,PRKACA
HP:0001293,Cranial nerve compression
HGNC:6842,MAP2K2
HP:0002671,Basal cell carcinoma
HP:0002268,Paroxysmal dystonia
HP:0000768,Pectus carinatum
HGNC:3364,ENTPD2
HGNC:9829,RAF1
GO:0055085,transmembrane transport
UPHENO:0080594,abnormal social behavior
GO:0070887,cellular response to chemical stimulus
HGNC:29796,LAMTOR2
GO:0018107,peptidyl-threonine phosphorylation
HGNC:9788,RAB7A
HGNC:30004,SULT1A4
GO:0140930,fructose:sodium symporter activity
HGNC:27638,SYPL2
HGNC:2150,CNGA3
HGNC:12565,UNC119
GO:0004594,pantothenate kinase activity
HP:0012343,Decreased circulating ferritin concentration
HGNC:10705,SEC24C
GO:0005324,long-chain fatty acid transporter activity
HP:0003334,Elevated circulating catecholamine level
HGNC:22222,TTYH3
HGNC:14906,NIN
GO:0007417,central nervous system development
HGNC:18664,FAM3C
HGNC:9343,PRCC
MONDO:0002748,rectum mucinous adenocarcinoma
HGNC:12877,ZMPSTE24
WB:WBGene00019550,K09C4.5
HGNC:4829,HBD
MONDO:0019771,oromandibular dystonia
NCBIGene:475251,AHR
HP:0000023,Inguinal hernia
PR:000007495,fibroblast growth factor 4
MONDO:0000314,primary bacterial infectious disease
HP:0001250,Seizure
CHEBI:22315,alkaloid
HP:0000549,Abnormal conjugate eye movement
MONDO:0007603,Felty syndrome
HGNC:589,ATG5
UBERON:0002165,endocardium
HGNC:6484,LAMA4
HGNC:7096,MID2
HGNC:3819,FOXO1
HGNC:6600,LIG3
GO:0005576,extracellular region
HP:0006460,Increased laxity of ankles
HGNC:34,ABCA4
MONDO:0002718,central nervous system teratoma
HGNC:24065,ARMCX3
MONDO:0003281,ovarian cystic teratoma
MGI:1858451,Cyp3a41a
HP:0032792,Tonic seizure
HGNC:9701,PURA
HGNC:5164,HPSE
MONDO:0011968,autosomal recessive limb-girdle muscular dystrophy type 2D
HGNC:18170,CMPK1
MONDO:0010808,fatal familial insomnia
HP:0012675,Iron accumulation in brain
HP:0011499,Mydriasis
HGNC:3388,EPHA4
CHEBI:15738,staurosporine
CHEBI:17754,glycerol
MGI:1921367,Actr3
MONDO:0958095,"Nodal T-follicular helper cell lymphoma, follicular type"
HGNC:9950,RECQL5
HGNC:4827,HBB
HGNC:19181,KIF14
HGNC:26404,NADK2
RGD:69264,Shank3
HGNC:7064,MGST3
CHEBI:34848,mevastatin
HP:0011441,Abnormal medulla oblongata morphology
HGNC:8823,PECAM1
MONDO:0011671,Huntington disease-like 2
MONDO:0000200,Zimmermann-Laband syndrome
HGNC:11233,SPAST
MONDO:0005621,vascular brain injury
MONDO:0007488,Lewy body dementia
HGNC:9636,PTP4A3
HP:0002395,Lower limb hyperreflexia
HP:0000478,Abnormality of the eye
MONDO:0008845,atonic-astatic syndrome of Foerster
HGNC:2345,CREB1
HGNC:28862,NIPBL
ZFIN:ZDB-GENE-050522-437,ndufs5
MONDO:0000707,diversion colitis
HGNC:9226,PPA1
MONDO:0018204,20q11.2 microduplication syndrome
GO:0070293,renal absorption
MGI:95755,Slc2a1
HGNC:20452,INSIG2
HGNC:11905,TNFRSF10B
MONDO:0012784,autosomal recessive ataxia due to ubiquinone deficiency
CHEBI:24318,glutamine family amino acid
GO:0050896,response to stimulus
HP:0010936,Abnormality of the lower urinary tract
HP:0003484,Upper limb muscle weakness
HGNC:7414,MT-ATP6
MONDO:0021063,malignant colon neoplasm
MONDO:0010156,Troyer syndrome
CHEBI:72564,temozolomide
HP:0007153,Progressive extrapyramidal movement disorder
HGNC:4739,H2AX
MONDO:0014096,microcephaly-intellectual disability-phalangeal and neurological anomalies syndrome
HP:0020216,Visually-induced seizure
HGNC:2531,CTSF
HGNC:15939,WFDC2
HGNC:4901,HHEX
HP:0003307,Hyperlordosis
NCBIGene:424978,NDUFB5
HGNC:12612,USP14
HGNC:9717,PEX2
HGNC:11427,STUB1
HGNC:18683,EIF4A3
HGNC:9644,PTPN11
MONDO:0019502,autosomal recessive non-syndromic intellectual disability
HGNC:2750,DHX9
HGNC:3607,FBP2
GO:0042803,protein homodimerization activity
HP:0033206,Hyperactive Achilles reflex
HGNC:7137,AFDN
HGNC:6008,IL2RA
HGNC:1440,CALCR
GO:0022881,protein-N(PI)-phosphohistidine-N-acetylgalactosamine phosphotransferase system transporter activity
HP:0001131,Corneal dystrophy
HGNC:10934,SLC18A1
NCBIGene:281597,ACTR3
HGNC:23181,RASA4
HGNC:10717,SEL1L
MGI:1923957,Clasp1
HGNC:24666,FAF2
HGNC:14333,BAALC
MONDO:0060671,"epilepsy, juvenile myoclonic, susceptibility to, 10"
MONDO:0013352,intellectual disability-severe speech delay-mild dysmorphism syndrome
HP:0005110,Atrial fibrillation
HP:0002392,EEG with polyspike wave complexes
MONDO:0003644,cavernous hemangioma of colon
MONDO:0001815,extrapyramidal and movement disease
HP:0006824,Cranial nerve paralysis
MONDO:0005405,childhood onset asthma
HGNC:2671,DAO
MONDO:0011339,hereditary spastic paraplegia 8
GO:0031175,neuron projection development
HP:0002750,Delayed skeletal maturation
