id,label
MONDO:0002865,anus sarcoma
HGNC:17337,LCN6
HP:0001159,Syndactyly
HGNC:29168,RPGRIP1L
CHEBI:20265,lanostane
HGNC:25818,BRD9
HGNC:12488,UBE2L3
HGNC:17359,NUP54
HP:0031258,Delirium
HP:0006977,Deficit in grammar
chembl:CHEMBL12856,INAMRINONE
HGNC:4651,GTF2E2
HGNC:2928,DMD
HGNC:14295,SHANK2
chembl:CHEMBL2103869,DASOLAMPANEL
chembl:CHEMBL1405447,VITAMIN K3H2
HGNC:4191,GCG
Reactome:R-SCE-71288,Creatine metabolism
HGNC:14661,EGLN3
MGI:1277962,Hus1
HGNC:10706,SEC24D
MONDO:0011968,autosomal recessive limb-girdle muscular dystrophy type 2D
chembl:CHEMBL1024,IFOSFAMIDE
chembl:CHEMBL8488,CHEMBL8488
chembl:CHEMBL113150,CETRIMIDE
MONDO:0010830,neuronal ceroid lipofuscinosis 8
chembl:CHEMBL521,IBUPROFEN
chembl:CHEMBL600554,CHEMBL600554
HGNC:7082,CD99
chembl:CHEMBL1185568,DITHIAZANINE
MONDO:0018939,muscle-eye-brain disease
HP:0030190,Oral motor hypotonia
HP:0010442,Polydactyly
chembl:CHEMBL429095,CHEMBL429095
NCBIGene:475258,CYCS
HGNC:11272,SPTA1
chembl:CHEMBL601757,CHEMBL601757
HGNC:16063,MLLT10
MONDO:0019261,infantile neuronal ceroid lipofuscinosis
HGNC:12649,VAPB
HGNC:700,ARNT
HGNC:25118,OTULIN
RGD:1308416,Jph3
HP:0006852,Episodic generalized hypotonia
HGNC:7671,NCOA4
HGNC:9236,PPARG
HP:0034863,Reduced leukocyte arylsulfatase A activity
chembl:CHEMBL1201593,ALTEPLASE
chembl:CHEMBL84,TOPOTECAN
chembl:CHEMBL529,AZITHROMYCIN
MONDO:0020179,palpebral nevus
HP:0000218,High palate
chembl:CHEMBL61872,TALAMPANEL
HGNC:23287,ETHE1
MONDO:0018346,ferro-cerebro-cutaneous syndrome
MONDO:0019262,juvenile neuronal ceroid lipofuscinosis
chembl:CHEMBL8565,CHEMBL8565
HGNC:4333,NOP53
HP:0000529,Progressive visual loss
MONDO:0011694,spinocerebellar ataxia type 15/16
HGNC:10983,SLC25A13
RGD:71027,Grik3
HGNC:234,ADCY3
MONDO:0002501,brain glioblastoma
MONDO:0000761,syndrome caused by partial chromosomal deletion
chembl:CHEMBL998,LORATADINE
HGNC:8891,PGD
chembl:CHEMBL284121,ILX23-7553
chembl:CHEMBL1229517,VEMURAFENIB
HGNC:16657,BCL2L14
HGNC:6925,MBP
GO:0001091,RNA polymerase II general transcription initiation factor binding
MGI:1928369,Slc2a5
MONDO:0003612,uterine ligament cancer
HGNC:3586,FANCE
HGNC:27301,CRTC2
UBERON:0001303,left uterine tube
HGNC:11076,NHERF2
HGNC:12468,UBC
HGNC:7704,NDUFB9
HGNC:9955,RELA
chembl:CHEMBL3661115,TAS-116
NCBIGene:770757,DRD3
HP:0007089,Facial-lingual fasciculations
MONDO:0020753,Orthocoronavirinae infectious disease
chembl:CHEMBL407874,6-O-BENZYLGUANINE
HP:0020035,Lower limb dysmetria
