id,label
MONDO:0002865,anus sarcoma
HGNC:17337,LCN6
HP:0001159,Syndactyly
HGNC:29168,RPGRIP1L
CHEBI:20265,lanostane
HGNC:25818,BRD9
HGNC:12488,UBE2L3
HP:0031258,Delirium
HGNC:17359,NUP54
HP:0006977,Deficit in grammar
HGNC:4651,GTF2E2
HGNC:2928,DMD
HGNC:14295,SHANK2
HGNC:4191,GCG
Reactome:R-SCE-71288,Creatine metabolism
HGNC:14661,EGLN3
MGI:1277962,Hus1
HGNC:10706,SEC24D
MONDO:0011968,autosomal recessive limb-girdle muscular dystrophy type 2D
MONDO:0010830,neuronal ceroid lipofuscinosis 8
HGNC:7082,CD99
MONDO:0018939,muscle-eye-brain disease
HP:0030190,Oral motor hypotonia
HP:0010442,Polydactyly
NCBIGene:475258,CYCS
HGNC:11272,SPTA1
HGNC:16063,MLLT10
MONDO:0019261,infantile neuronal ceroid lipofuscinosis
HGNC:12649,VAPB
HGNC:700,ARNT
HGNC:25118,OTULIN
RGD:1308416,Jph3
HP:0006852,Episodic generalized hypotonia
HGNC:7671,NCOA4
HGNC:9236,PPARG
HP:0034863,Reduced leukocyte arylsulfatase A activity
MONDO:0020179,palpebral nevus
HP:0000218,High palate
HGNC:23287,ETHE1
MONDO:0019262,juvenile neuronal ceroid lipofuscinosis
MONDO:0018346,ferro-cerebro-cutaneous syndrome
HGNC:4333,NOP53
HP:0000529,Progressive visual loss
MONDO:0011694,spinocerebellar ataxia type 15/16
HGNC:10983,SLC25A13
RGD:71027,Grik3
HGNC:234,ADCY3
MONDO:0002501,brain glioblastoma
MONDO:0000761,syndrome caused by partial chromosomal deletion
HGNC:8891,PGD
HGNC:16657,BCL2L14
HGNC:6925,MBP
GO:0001091,RNA polymerase II general transcription initiation factor binding
MGI:1928369,Slc2a5
MONDO:0003612,uterine ligament cancer
HGNC:3586,FANCE
HGNC:27301,CRTC2
UBERON:0001303,left uterine tube
HGNC:12468,UBC
HGNC:11076,NHERF2
HGNC:7704,NDUFB9
HGNC:9955,RELA
NCBIGene:770757,DRD3
HP:0007089,Facial-lingual fasciculations
MONDO:0020753,Orthocoronavirinae infectious disease
HP:0020035,Lower limb dysmetria
HGNC:9117,PMP2
HGNC:4593,GRM1
HP:0003777,Pili torti
UBERON:0018303,adrenal tissue
HP:0033725,Thin corpus callosum
MONDO:0001072,mild pre-eclampsia
HP:0001987,Hyperammonemia
HGNC:4124,GALNT2
WB:WBGene00000064,act-2
HGNC:29333,ANKRD36B
UPHENO:0026492,absent vestibular nerve in the vestibulocochlear nerve
HP:0002451,Limb dystonia
HGNC:6199,JRK
MONDO:0003409,colonic disorder
HGNC:23508,STOX1
HP:0003380,Decreased number of peripheral myelinated nerve fibers
HP:0002425,Anarthria
HGNC:2746,DDX5
HGNC:23064,GSTO2
HP:0002506,Diffuse cerebral atrophy
HP:0011960,Substantia nigra gliosis
MONDO:0014889,"striatonigral degeneration, childhood-onset"
HP:0009588,Vestibular schwannoma
CHEBI:33019,diphosphate(3-)
HP:0009053,Distal lower limb muscle weakness
HGNC:28912,WDR45
NCBIGene:488824,DRD5
