0,1,2,3
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0000167', 'label': 'Huntington disease and related disorders'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0001627', 'label': 'dementia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0021136', 'label': 'rare'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0042980', 'label': 'Westphal disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000708', 'label': 'Atypical behavior'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000716', 'label': 'Depression'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000737', 'label': 'Irritability'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000752', 'label': 'Hyperactivity'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001251', 'label': 'Ataxia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001332', 'label': 'Dystonia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002136', 'label': 'Broad-based gait'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0012547', 'label': 'Abnormal involuntary eye movements'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}",{'notes': 'first_layer'}
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HGNC:11007', 'label': 'SLC2A3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27656', 'label': 'camptothecin'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:46245', 'label': 'coenzyme Q10'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:16919', 'label': 'creatine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:7735', 'label': 'olanzapine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27881', 'label': 'resveratrol'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:50694', 'label': 'minocycline'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0012391', 'label': 'neuronal ceroid lipofuscinosis 8 northern epilepsy variant'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0958012', 'label': 'neurodegeneration with brain iron accumulation 9'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0018307', 'label': 'neurodegeneration with brain iron accumulation'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0013584', 'label': 'hereditary sensory neuropathy-deafness-dementia syndrome'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0007488', 'label': 'Lewy body dementia'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0033480', 'label': 'spinocerebellar ataxia 45'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011694', 'label': 'spinocerebellar ataxia type 15/16'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0008083', 'label': 'ceroid lipofuscinosis, neuronal, 4 (Kufs type)'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0012321', 'label': 'Alzheimer disease 10'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014867', 'label': 'spinocerebellar ataxia 43'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0032673', 'label': 'basal ganglia calcification, idiopathic, 7, autosomal recessive'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0013866', 'label': 'neuronal ceroid lipofuscinosis 11'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0009419', 'label': 'Woodhouse-Sakati syndrome'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0012103', 'label': 'spinocerebellar ataxia type 25'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014179', 'label': 'inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 3'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'second_layer'}
