id,label
HGNC:15894,PANK2
chembl:CHEMBL163316,3-O-METHYLQUERCETIN
chembl:CHEMBL266195,ALPRENOLOL
chembl:CHEMBL451930,PLITIDEPSIN
chembl:CHEMBL483,TENOFOVIR
chembl:CHEMBL523200,CHEMBL523200
chembl:CHEMBL601952,CHEMBL601952
chembl:CHEMBL1078000,CHEMBL1078000
chembl:CHEMBL23588,FLUFENAMIC ACID
MONDO:0013584,hereditary sensory neuropathy-deafness-dementia syndrome
chembl:CHEMBL547,ISOTRETINOIN
chembl:CHEMBL2103852,CROLIBULIN
chembl:CHEMBL468167,CHLOROTHALONIL
HGNC:17780,ACTBL2
chembl:CHEMBL402548,DANUSERTIB
chembl:CHEMBL6246,ELLAGIC ACID
chembl:CHEMBL27,PROPRANOLOL
MONDO:0010334,severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome
CHEBI:7735,olanzapine
HP:0002169,Clonus
chembl:CHEMBL518292,ISOVELLERAL
HP:0002530,Axial dystonia
HP:0002406,Limb dysmetria
HGNC:9154,PNKP
chembl:CHEMBL261131,DIACYLGLYCEROL KINASE INHIBITOR II
Reactome:R-DRE-500753,Pyrimidine biosynthesis
chembl:CHEMBL1337502,BENZO[B]FLUORANTHENE
chembl:CHEMBL451226,CHEMBL451226
chembl:CHEMBL2109447,LYM-1
chembl:CHEMBL412142,CHIR-99021
chembl:CHEMBL2104262,FADOLMIDINE
chembl:CHEMBL1088750,ARRY-797
chembl:CHEMBL67535,CHEMBL67535
chembl:CHEMBL1525,PERMETHRIN
chembl:CHEMBL77456,TYRPHOSTIN 1
chembl:CHEMBL2109092,EPOETIN BETA
chembl:CHEMBL334255,CETYLPYRIDINIUM BROMIDE
chembl:CHEMBL578905,CHEMBL578905
HGNC:728,ARVCF
chembl:CHEMBL1614710,OSI-930
chembl:CHEMBL234338,CHEMBL234338
chembl:CHEMBL3545097,SAPANISERTIB
chembl:CHEMBL32749,FERULIC ACID
chembl:CHEMBL603952,CHEMBL603952
chembl:CHEMBL354541,LOMITAPIDE
MONDO:0016318,progressive multifocal leukoencephalopathy
HP:0002072,Chorea
chembl:CHEMBL582286,CHEMBL582286
chembl:CHEMBL429405,SARCOLYSIN
chembl:CHEMBL243664,ACACETIN
chembl:CHEMBL1984884,CHEMBL1984884
chembl:CHEMBL1697744,ERDOSTEINE
chembl:CHEMBL680,CEFACLOR
chembl:CHEMBL672,FENOFIBRATE
chembl:CHEMBL17201,CHEMBL17201
chembl:CHEMBL1096896,UK432097
chembl:CHEMBL211670,CHEMBL211670
HP:0000738,Hallucinations
chembl:CHEMBL1905010,PYRAFLUFEN-ETHYL
HGNC:25751,TRAPPC11
chembl:CHEMBL941,IMATINIB
chembl:CHEMBL2103822,TASIMELTEON
chembl:CHEMBL576362,CHEMBL576362
chembl:CHEMBL1476605,CLOFOCTOL
MONDO:0011781,spinocerebellar ataxia type 17
chembl:CHEMBL3545308,ROCILETINIB
MONDO:0002413,glycogen storage disease I
chembl:CHEMBL502109,BENZALKONIUM CHLORIDE
chembl:CHEMBL1077773,CHEMBL1077773
chembl:CHEMBL1201182,TEMSIROLIMUS
chembl:CHEMBL336961,AZAKENPAULLONE
chembl:CHEMBL388590,BENZBROMARONE
chembl:CHEMBL576409,CHEMBL576409
HGNC:11005,SLC2A1
chembl:CHEMBL529,AZITHROMYCIN
chembl:CHEMBL306946,TRYPTANTHRIN
chembl:CHEMBL20562,ZAPA
chembl:CHEMBL6,INDOMETHACIN
chembl:CHEMBL932,DIPYRIDAMOLE
chembl:CHEMBL419667,RELCOVAPTAN
HGNC:6836,MAP1B
chembl:CHEMBL255044,FLUPIRTINE
HGNC:11425,STS
chembl:CHEMBL541388,FASUDIL HYDROCHLORIDE
chembl:CHEMBL78150,TYRPHOSTIN A9
chembl:CHEMBL4297850,XENTUZUMAB
chembl:CHEMBL2107759,MILATAXEL
HP:0007325,Generalized dystonia
HGNC:245,ADD3
chembl:CHEMBL27759,ENTINOSTAT
HP:0020045,Esodeviation
HGNC:9179,POLG
chembl:CHEMBL1489223,SAPPANONE A DIMETHYL ETHER
chembl:CHEMBL1518572,CHEMBL1518572
chembl:CHEMBL186113,GW-328267
Reactome:R-CFA-611105,Respiratory electron transport
HP:0001332,Dystonia
chembl:CHEMBL52885,ENMD-981693
HGNC:16235,DNAJC5
chembl:CHEMBL374107,8-AZAGUANINE
chembl:CHEMBL2107881,REGRAMOSTIM
HP:0002599,Head titubation
chembl:CHEMBL53463,DOXORUBICIN
chembl:CHEMBL1200765,SIBUTRAMINE HYDROCHLORIDE
chembl:CHEMBL591834,CHEMBL591834
CHEBI:9168,sirolimus
chembl:CHEMBL84,TOPOTECAN
chembl:CHEMBL796,METHYLPHENIDATE
chembl:CHEMBL669,CYCLOBENZAPRINE
chembl:CHEMBL331237,TRICIRIBINE
chembl:CHEMBL377300,BRIVANIB
chembl:CHEMBL9470,SHIKONIN
chembl:CHEMBL56337,EPALRESTAT
chembl:CHEMBL3184679,AZD-4547
chembl:CHEMBL1520188,CLODRONATE DISODIUM
chembl:CHEMBL1288830,SPINASAPONIN A METHYL ESTER
MONDO:0958012,neurodegeneration with brain iron accumulation 9
chembl:CHEMBL415049,BARASERTIB
HGNC:8607,PRKN
chembl:CHEMBL309760,CHEMBL309760
chembl:CHEMBL1201061,LEVALBUTEROL HYDROCHLORIDE
Reactome:R-DRE-390651,Dopamine receptors
MONDO:0005292,colitis
wikidata:Q47520887,ADRIAMYCIN
chembl:CHEMBL1043,DAPSONE
chembl:CHEMBL19236,MOXONIDINE
MONDO:0019792,autosomal dominant cerebellar ataxia type I
chembl:CHEMBL1451216,CHEMBL1451216
chembl:CHEMBL408,TROGLITAZONE
chembl:CHEMBL1200434,OXTRIPHYLLINE
chembl:CHEMBL483847,CHEMBL483847
chembl:CHEMBL1170485,CHEMBL1170485
chembl:CHEMBL3137336,UPROSERTIB
HGNC:7224,MPV17
HP:0000737,Irritability
chembl:CHEMBL295337,CHEMBL295337
chembl:CHEMBL30707,COUMESTROL
