0,1,2,3
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0000167', 'label': 'Huntington disease and related disorders'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0001627', 'label': 'dementia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0021136', 'label': 'rare'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000496', 'label': 'Abnormality of eye movement'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001272', 'label': 'Cerebellar atrophy'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000716', 'label': 'Depression'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000751', 'label': 'Personality changes'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002066', 'label': 'Gait ataxia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002072', 'label': 'Chorea'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002171', 'label': 'Gliosis'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002529', 'label': 'Neuronal loss in central nervous system'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002063', 'label': 'Rigidity'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002067', 'label': 'Bradykinesia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001268', 'label': 'Mental deterioration'}",{'notes': 'first_layer'}
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HGNC:11007', 'label': 'SLC2A3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0042980', 'label': 'Westphal disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'OBA:2001024', 'label': 'age of onset of Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27656', 'label': 'camptothecin'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:46245', 'label': 'coenzyme Q10'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:16919', 'label': 'creatine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:7735', 'label': 'olanzapine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:50694', 'label': 'minocycline'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27881', 'label': 'resveratrol'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MGI:3698041', 'label': 'Htt<sup>tm5Mem</sup>/Htt<sup>+</sup>  [background:] involves: 129S1/Sv * 129X1/SvJ * CD-1'}",{'label': 'biolink:model_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MGI:6400710', 'label': 'Htt<sup>tm5Detl</sup>/Htt<sup>+</sup>  [background:] involves: C57BL/6'}",{'label': 'biolink:model_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MGI:5432178', 'label': 'Gt(ROSA)26Sor<sup>tm50(HTT)Arte</sup>/Gt(ROSA)26Sor<sup>+</sup>  [background:] Not Specified'}",{'label': 'biolink:model_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MGI:5635161', 'label': 'Tg(HTT*)LXwy/0  [background:] involves: FVB/NJ'}",{'label': 'biolink:model_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MGI:3698042', 'label': 'Htt<sup>tm5Mem</sup>/Htt<sup>tm5Mem</sup>  [background:] involves: 129S1/Sv * 129X1/SvJ * CD-1'}",{'label': 'biolink:model_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HP:0032815', 'label': 'Neonatal electro-clinical myoclonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032813', 'label': 'Neonatal electro-clinical motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0011145', 'label': 'Symptomatic seizures'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032715', 'label': 'Focal bilateral motor seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0011153', 'label': 'Focal motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032758', 'label': 'Focal aware myoclonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0011166', 'label': 'Focal myoclonic seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032758', 'label': 'Focal aware myoclonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0020217', 'label': 'Focal aware motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032796', 'label': 'Focal impaired awareness cognitive seizure with left-right confusion'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032700', 'label': 'Focal cognitive seizure with left-right confusion'}",{'notes': 'second_layer'}
"{'id': 'HP:0032796', 'label': 'Focal impaired awareness cognitive seizure with left-right confusion'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032756', 'label': 'Focal impaired awareness cognitive seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032919', 'label': 'Focal aware head nodding automatism seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032906', 'label': 'Focal head nodding automatism seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032919', 'label': 'Focal aware head nodding automatism seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032910', 'label': 'Focal aware automatism seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032789', 'label': 'Focal aware behavior arrest seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032682', 'label': 'Focal aware non-motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032736', 'label': 'Focal emotional seizure with anger'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0025613', 'label': 'Focal emotional seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0032789', 'label': 'Focal aware behavior arrest seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0011173', 'label': 'Focal behavior arrest seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0002133', 'label': 'Status epilepticus'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0010818', 'label': 'Generalized tonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032677', 'label': 'Generalized-onset motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0010818', 'label': 'Generalized tonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0032792', 'label': 'Tonic seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0010819', 'label': 'Atonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0020219', 'label': 'Motor seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0001327', 'label': 'Photosensitive myoclonic seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0020216', 'label': 'Visually-induced seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0002121', 'label': 'Generalized non-motor (absence) seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002197', 'label': 'Generalized-onset seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0002121', 'label': 'Generalized non-motor (absence) seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0011146', 'label': 'Dialeptic seizure'}",{'notes': 'second_layer'}
"{'id': 'HP:0002121', 'label': 'Generalized non-motor (absence) seizure'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0033259', 'label': 'Non-motor seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0023659', 'label': 'developmental and epileptic encephalopathy 96'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0032792', 'label': 'Tonic seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0009904', 'label': 'Gitelman syndrome'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0023659', 'label': 'developmental and epileptic encephalopathy 96'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0011097', 'label': 'Epileptic spasm'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011872', 'label': 'Griscelli syndrome type 2'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0060752', 'label': 'neurodevelopmental disorder with spasticity and poor growth'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0060752', 'label': 'neurodevelopmental disorder with spasticity and poor growth'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0032794', 'label': 'Myoclonic seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0008962', 'label': 'Griscelli syndrome type 1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0957779', 'label': 'neurodevelopmental disorder with language delay and variable cognitive abnormalities'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0859165', 'label': 'neurodevelopmental disorder with hypotonia, facial dysmorphism, and brain abnormalities'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0032794', 'label': 'Myoclonic seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0060752', 'label': 'neurodevelopmental disorder with spasticity and poor growth'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0012469', 'label': 'Infantile spasms'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0010321', 'label': 'autism, susceptibility to, X-linked 1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001250', 'label': 'Seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014328', 'label': 'developmental and epileptic encephalopathy, 19'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0006813', 'label': 'Focal hemiclonic seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014328', 'label': 'developmental and epileptic encephalopathy, 19'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002373', 'label': 'Febrile seizure (within the age range of 3 months to 6 years)'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014328', 'label': 'developmental and epileptic encephalopathy, 19'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002384', 'label': 'Focal impaired awareness seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014328', 'label': 'developmental and epileptic encephalopathy, 19'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002121', 'label': 'Generalized non-motor (absence) seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014328', 'label': 'developmental and epileptic encephalopathy, 19'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0010819', 'label': 'Atonic seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0014331', 'label': 'Moyamoya disease with early-onset achalasia'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002197', 'label': 'Generalized-onset seizure'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0859293', 'label': 'neurodevelopmental disorder with microcephaly, cerebral atrophy, and visual impairment'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002197', 'label': 'Generalized-onset seizure'}",{'notes': 'second_layer'}
