0,1,2,3
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0042980', 'label': 'Westphal disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0000167', 'label': 'Huntington disease and related disorders'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0001627', 'label': 'dementia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0021136', 'label': 'rare'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001268', 'label': 'Mental deterioration'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000496', 'label': 'Abnormality of eye movement'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000713', 'label': 'Agitation'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000716', 'label': 'Depression'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000718', 'label': 'Aggressive behavior'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000734', 'label': 'Disinhibition'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000738', 'label': 'Hallucinations'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000741', 'label': 'Apathy'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000746', 'label': 'Delusions'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001288', 'label': 'Gait disturbance'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001332', 'label': 'Dystonia'}",{'notes': 'first_layer'}
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HGNC:11007', 'label': 'SLC2A3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'HGNC:4851', 'label': 'HTT'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27656', 'label': 'camptothecin'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:46245', 'label': 'coenzyme Q10'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:16919', 'label': 'creatine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:7735', 'label': 'olanzapine'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:27881', 'label': 'resveratrol'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:50694', 'label': 'minocycline'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007739', 'label': 'Huntington disease'}",{'notes': 'first_layer'}
"{'id': 'MONDO:0000167', 'label': 'Huntington disease and related disorders'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0024237', 'label': 'inherited neurodegenerative disorder'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0007182', 'label': 'Machado-Joseph disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015548', 'label': 'Huntington disease-like syndrome'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0007182', 'label': 'Machado-Joseph disease'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0019792', 'label': 'autosomal dominant cerebellar ataxia type I'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0007435', 'label': 'dentatorubral-pallidoluysian atrophy'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015548', 'label': 'Huntington disease-like syndrome'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0007435', 'label': 'dentatorubral-pallidoluysian atrophy'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0019794', 'label': 'autosomal dominant cerebellar ataxia type IV'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0009319', 'label': 'pantothenate kinase-associated neurodegeneration'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0016987', 'label': 'neuroacanthocytosis'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0009319', 'label': 'pantothenate kinase-associated neurodegeneration'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0018307', 'label': 'neurodegeneration with brain iron accumulation'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0009319', 'label': 'pantothenate kinase-associated neurodegeneration'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0018117', 'label': 'disorder of phospholipids, sphingolipids and fatty acids biosynthesis'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0010065', 'label': 'spinocerebellar degeneration with slow eye movements'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0008458', 'label': 'spinocerebellar ataxia type 2'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011487', 'label': 'Huntington disease-like 3'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011487', 'label': 'Huntington disease-like 3'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015548', 'label': 'Huntington disease-like syndrome'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011638', 'label': 'neuroferritinopathy'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015548', 'label': 'Huntington disease-like syndrome'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011638', 'label': 'neuroferritinopathy'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0017763', 'label': 'disorder of iron metabolism and transport'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011638', 'label': 'neuroferritinopathy'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0018307', 'label': 'neurodegeneration with brain iron accumulation'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011671', 'label': 'Huntington disease-like 2'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0016987', 'label': 'neuroacanthocytosis'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011781', 'label': 'spinocerebellar ataxia type 17'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0000114', 'label': 'cerebelloparenchymal disorder'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011781', 'label': 'spinocerebellar ataxia type 17'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015548', 'label': 'Huntington disease-like syndrome'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011781', 'label': 'spinocerebellar ataxia type 17'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0019792', 'label': 'autosomal dominant cerebellar ataxia type I'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0011487', 'label': 'Huntington disease-like 3'}",{'label': 'biolink:related_to'},"{'id': 'MONDO:0005559', 'label': 'neurodegenerative disease'}",{'notes': 'second_layer'}
"{'id': 'HGNC:10555', 'label': 'ATXN2'}",{'label': 'biolink:contributes_to'},"{'id': 'MONDO:0008458', 'label': 'spinocerebellar ataxia type 2'}",{'notes': 'second_layer'}
"{'id': 'HGNC:11588', 'label': 'TBP'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0011781', 'label': 'spinocerebellar ataxia type 17'}",{'notes': 'second_layer'}
"{'id': 'HGNC:7106', 'label': 'ATXN3'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007182', 'label': 'Machado-Joseph disease'}",{'notes': 'second_layer'}
"{'id': 'HGNC:1908', 'label': 'VPS13A'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0008695', 'label': 'chorea-acanthocytosis'}",{'notes': 'second_layer'}
"{'id': 'HGNC:15894', 'label': 'PANK2'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0009319', 'label': 'pantothenate kinase-associated neurodegeneration'}",{'notes': 'second_layer'}
"{'id': 'HGNC:3999', 'label': 'FTL'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0011638', 'label': 'neuroferritinopathy'}",{'notes': 'second_layer'}
"{'id': 'HGNC:3033', 'label': 'ATN1'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0007435', 'label': 'dentatorubral-pallidoluysian atrophy'}",{'notes': 'second_layer'}
"{'id': 'HGNC:10548', 'label': 'ATXN1'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0008119', 'label': 'spinocerebellar ataxia type 1'}",{'notes': 'second_layer'}
"{'id': 'HGNC:12811', 'label': 'XK'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0018945', 'label': 'McLeod neuroacanthocytosis syndrome'}",{'notes': 'second_layer'}
"{'id': 'HGNC:14203', 'label': 'JPH3'}",{'label': 'biolink:causes'},"{'id': 'MONDO:0011671', 'label': 'Huntington disease-like 2'}",{'notes': 'second_layer'}
"{'id': 'HGNC:8772', 'label': 'PDE10A'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0044332', 'label': 'childhood-onset benign chorea with striatal involvement'}",{'notes': 'second_layer'}
"{'id': 'HGNC:7106', 'label': 'ATXN3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0017174', 'label': 'Machado-Joseph disease type 1'}",{'notes': 'second_layer'}
"{'id': 'HGNC:7106', 'label': 'ATXN3'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0017176', 'label': 'Machado-Joseph disease type 3'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000708', 'label': 'Atypical behavior'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000716', 'label': 'Depression'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000752', 'label': 'Hyperactivity'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001251', 'label': 'Ataxia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001332', 'label': 'Dystonia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002136', 'label': 'Broad-based gait'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0012547', 'label': 'Abnormal involuntary eye movements'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030190', 'label': 'Oral motor hypotonia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0200147', 'label': 'Neuronal loss in basal ganglia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001272', 'label': 'Cerebellar atrophy'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002066', 'label': 'Gait ataxia'}",{'notes': 'second_layer'}
"{'id': 'MONDO:0016621', 'label': 'juvenile Huntington disease'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002119', 'label': 'Ventriculomegaly'}",{'notes': 'second_layer'}
