id,label
rxcui:40048,CARBOPLATIN
rxcui:12574,GEMCITABINE
rxcui:9060,QUERCETIN
ncit:C74072,DACTOLISIB
ncit:C91732,GEDATOLISIB
drugbank:DB11795,GSK-2636771
ncit:C90565,BUPARLISIB
ncit:C71705,PILARALISIB
drugbank:DB05210,SF1126
ncit:C91731,APITOLISIB
ncit:C78848,SONOLISIB
rxcui:2169285,ALPELISIB
drugbank:DB17046,PI-103
ncit:C165479,PICTILISIB
iuphar.ligand:7936,PF-04691502
rxcui:2550729,INFIGRATINIB
ncit:C1393,RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1
rxcui:1945077,COPANLISIB
ncit:C71704,VOXTALISIB
chembl:CHEMBL3545314,DUSQUETIDE
rxcui:1298842,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE"
rxcui:42355,FLUVOXAMINE
rxcui:588250,MILNACIPRAN
rxcui:2603494,HEPARAN SULFATE
rxcui:59763,STAVUDINE
rxcui:25696,GENISTEIN
chembl:CHEMBL465226,GEDUNIN
rxcui:3390,DIETHYLSTILBESTROL
ncit:C571,ANTISERUM
iuphar.ligand:2448,H2O2
chembl:CHEMBL2332279,CHEMBL:CHEMBL2332279
ncit:C66345,PENTOLINIUM TARTRATE
rxcui:1723152,CYTISINE
drugbank:DB07720,EPIBATIDINE
chembl:CHEMBL3707249,ASM-024
ncit:C179121,SIMPINICLINE
rxcui:91240,MECAMYLAMINE HYDROCHLORIDE
rxcui:38680,TRIMETHAPHAN CAMSYLATE
chembl:CHEMBL1086654,PHANTASMIDINE
rxcui:591622,VARENICLINE
ncit:C81670,LARAZOTIDE ACETATE
ncit:C70941,COTININE
chembl:CHEMBL2397450,YM-543
chembl:CHEMBL2105711,TOFOGLIFLOZIN
rxcui:1486966,DAPAGLIFLOZIN PROPANEDIOL
ncit:C150375,LICOGLIFLOZIN
ncit:C166685,IPRAGLIFLOZIN
rxcui:1373458,CANAGLIFLOZIN
ncit:C1612,GLUFOSFAMIDE
ncit:C91023,REMOGLIFLOZIN ETABONATE
ncit:C119623,SOTAGLIFLOZIN
rxcui:1545653,EMPAGLIFLOZIN
rxcui:1992672,ERTUGLIFLOZIN
ncit:C95788,MAVRILIMUMAB
chembl:CHEMBL4297837,TALACOTUZUMAB
ncit:C1846,LERIDISTIM
ncit:C171683,CIBINETIDE
rxcui:2109054,TAGRAXOFUSP-ERZS
rxcui:69634,SARGRAMOSTIM
drugbank:DB12451,SCY-635
ncit:C72585,TEDISAMIL
rxcui:2106338,AMIFAMPRIDINE
rxcui:2106337,AMIFAMPRIDINE PHOSPHATE
ncit:C80997,NERISPIRDINE
rxcui:897018,DALFAMPRIDINE
rxcui:50676,GUANIDINE HYDROCHLORIDE
chembl:CHEMBL372629,CHEMBL:CHEMBL372629
rxcui:1546021,CEFIXIME ANHYDROUS
chembl:CHEMBL1448793,CHEMBL:CHEMBL1448793
rxcui:25037,CEFDINIR
chembl:CHEMBL1208858,CALMIDAZOLIUM CHLORIDE
chembl:CHEMBL469424,ASTERRIC ACID
chembl:CHEMBL483838,CHEMBL:CHEMBL483838
chembl:CHEMBL173530,STICTIC ACID
chembl:CHEMBL1534034,CHEMBL:CHEMBL1534034
chembl:CHEMBL68096,CHEMBL:CHEMBL68096
ncit:C79920,CLOSANTEL
rxcui:5293,HEXACHLOROPHENE
chembl:CHEMBL86464,CHEMBL:CHEMBL86464
chembl:CHEMBL599013,CHEMBL:CHEMBL599013
chembl:CHEMBL588143,CHEMBL:CHEMBL588143
chembl:CHEMBL515252,CHEMBL:CHEMBL515252
iuphar.ligand:12437,COUMESTROL
ncit:C78040,BITHIONOLOXIDE
drugbank:DB02285,PROTOPORPHYRIN
rxcui:1427193,DIETHYLDITHIOCARBAMATE
rxcui:2104603,EMAPALUMAB-LZSG
rxcui:12574,GEMCITABINE
rxcui:40048,CARBOPLATIN
rxcui:1311280,PLATINUM
rxcui:12574,GEMCITABINE
rxcui:2555,CISPLATIN
chembl:CHEMBL4650230,SIMUFILAM
ncit:C180661,SIMUFILAM
rxcui:3008,CYCLOSPORINE
rxcui:6851,METHOTREXATE
rxcui:4179,ETOPOSIDE
ncit:C2160,PROTEASOME INHIBITOR
iuphar.ligand:4975,IL-10
ncit:C1934,DIFFERENTIATION INDUCER
ncit:C274,ANTINEOPLASTIC AGENT
rxcui:358258,BORTEZOMIB
rxcui:82084,PROPRANOLOL HYDROCHLORIDE
rxcui:2103478,TRASTUZUMAB-DKST
rxcui:11202,VINCRISTINE
rxcui:10324,TAMOXIFEN
rxcui:1000492,RESVERATROL
rxcui:233272,BEXAROTENE
chembl:CHEMBL1873440,MESOTRIONE
rxcui:1299922,DOCETAXEL ANHYDROUS
rxcui:236677,2-PHENYLPHENOL
iuphar.ligand:2674,GW7647
chembl:CHEMBL55860,OCTADECYLAMINE
chembl:CHEMBL468167,CHLOROTHALONIL
chembl:CHEMBL460100,FERBAM
chembl:CHEMBL453905,BROMOXYNIL
chembl:CHEMBL55659,ANTHRAQUINONE
chembl:CHEMBL1869551,CHLORFENAPYR
rxcui:1006469,DOCONEXENT
rxcui:8727,PROGESTERONE
rxcui:25696,GENISTEIN
ncit:C63667,MOFAROTENE
rxcui:81864,ALITRETINOIN
ncit:C72098,STANOLONE
rxcui:166551,RALOXIFENE HYDROCHLORIDE
rxcui:10237,SULINDAC
ncit:C77030,BITHIONOL
rxcui:142433,DOXORUBICIN HYDROCHLORIDE
chembl:CHEMBL1088184,DIBUTYLDICHLOROSTANNANE
chembl:CHEMBL1088186,TRIBUTYLCHLOROSTANNANE
rxcui:60223,ADAPALENE
rxcui:301542,ROSUVASTATIN
rxcui:89552,PHENOXYETHANOL
rxcui:40036,BENZETHONIUM CHLORIDE
chembl:CHEMBL118417,CHEMBL:CHEMBL118417
rxcui:2562546,HONOKIOL
chembl:CHEMBL1902519,METRIBUZIN
rxcui:22293,DANTHRON
rxcui:1665336,DIFLUBENZURON
chembl:CHEMBL1869863,QUINOXYFEN
ncit:C163587,AZINPHOS-ETHYL
rxcui:1366666,ROTENONE
chembl:CHEMBL485833,FLUDIOXONIL
rxcui:150816,IMIPRAMINE HYDROCHLORIDE
rxcui:10517,THIRAM
rxcui:3100,DACTINOMYCIN
rxcui:133054,CHLORHEXIDINE DIACETATE
ncit:C65857,HOMIDIUM BROMIDE
rxcui:10472,THIMEROSAL
chembl:CHEMBL466426,DIFENOCONAZOLE
chembl:CHEMBL1716091,SDX-101
rxcui:38609,TRICLOCARBAN
rxcui:81992,DAUNORUBICIN HYDROCHLORIDE
chembl:CHEMBL506538,TRIPHENYLSTANNANOL
rxcui:16818,ACITRETIN
chembl:CHEMBL1901818,BROMETHALIN
rxcui:21290,CLOROPHENE
rxcui:3351,DICHLOROPHEN
chembl:CHEMBL1416084,PROPARGITE
rxcui:8331,PIMOZIDE
chembl:CHEMBL451158,CHEMBL:CHEMBL451158
rxcui:859857,SAQUINAVIR MESYLATE
iuphar.ligand:2813,PHYTANIC ACID
rxcui:10753,TRETINOIN
chembl:CHEMBL1900921,DEMETON S
rxcui:4182,ETRETINATE
chembl:CHEMBL1441574,BENZO(K)FLUORANTHENE
rxcui:10795,TRICLOSAN
rxcui:1848,BUTYLATED HYDROXYTOLUENE
ncit:C95196,ABAMECTIN
chembl:CHEMBL519873,PYRACLOSTROBIN
drugbank:DB02877,AROTINOID ACID
ncit:C975,AFIMOXIFENE
chembl:CHEMBL297304,CHEMBL:CHEMBL297304
drugbank:DB07080,TO-901317
chembl:CHEMBL511667,TRIBUTYLTIN-OXIDE
chembl:CHEMBL268291,DIMETHYLFORMAMIDE
chembl:CHEMBL1231413,BIPHENYL
rxcui:7402,NICLOSAMIDE
chembl:CHEMBL75133,IRX-4204
chembl:CHEMBL329673,CHEMBL:CHEMBL329673
rxcui:10379,TESTOSTERONE
rxcui:31448,NABUMETONE
ncit:C65886,IGURATIMOD
rxcui:41493,MELOXICAM
rxcui:278567,VALDECOXIB
rxcui:36108,SALSALATE
rxcui:91351,FLURBIPROFEN SODIUM
ncit:C66041,LUMIRACOXIB
rxcui:161,ACETAMINOPHEN
rxcui:47364,BROMFENAC SODIUM
rxcui:232158,ROFECOXIB
rxcui:298665,NEPAFENAC
rxcui:52582,MESALAMINE
rxcui:1429044,"IBUPROFEN, SODIUM SALT"
ncit:C29854,SULINDAC SULFIDE
rxcui:68115,PIROXICAM-BETA-CYCLODEXTRIN
rxcui:16689,ACECLOFENAC
ncit:C83989,NAPROXCINOD
rxcui:279950,PARECOXIB
rxcui:9525,SALICYLIC ACID
rxcui:24605,ETODOLAC
rxcui:10636,TOLMETIN
rxcui:142442,NAPROXEN SODIUM
chembl:CHEMBL427526,(R)-IBUPROPHEN
ncit:C83801,INDOPROFEN
ncit:C74021,APRICOXIB
ncit:C63957,LICOFELONE
rxcui:267171,FENOPROFEN CALCIUM
ncit:C174668,DICLOFENAC ETALHYALURONATE SODIUM
drugbank:DB14060,NS-398
rxcui:10255,SUPROFEN
rxcui:279951,PARECOXIB SODIUM
ncit:C77348,CLOMETACIN
rxcui:307296,ETORICOXIB
rxcui:32592,OXALIPLATIN
rxcui:10237,SULINDAC
chembl:CHEMBL2171117,CHEMBL:CHEMBL2171117
rxcui:203214,DICLOFENAC SODIUM
ncit:C81061,DARBUFELONE
rxcui:32613,OXAPROZIN
rxcui:1425,BENZYDAMINE
drugbank:DB12009,GW-406381
rxcui:36761,IBUPROFEN LYSINE
ncit:C96750,IBUFENAC
rxcui:8160,PHENYLBUTAZONE
rxcui:20343,CARPROFEN
rxcui:4331,FENOPROFEN
rxcui:7833,AMINOSALICYLIC ACID
ncit:C166529,NAPROXEN ETEMESIL
ncit:C170327,PIRPROFEN
rxcui:4502,FLURBIPROFEN
rxcui:17393,ALOXIPRIN
rxcui:81963,BENZYDAMINE HYDROCHLORIDE
ncit:C80558,ISOXICAM
rxcui:37790,TENOXICAM
ncit:C166907,DEXIBUPROFEN
rxcui:28200,KETOROLAC TROMETHAMINE
rxcui:2955,CURCUMIN
rxcui:7816,OXYPHENBUTAZONE
rxcui:1029,APAZONE
rxcui:3008,CYCLOSPORINE
rxcui:4453,FLUFENAMIC ACID
rxcui:660767,OXAPROZIN POTASSIUM
rxcui:153718,BALSALAZIDE DISODIUM
rxcui:19737,BROMFENAC
rxcui:10432,THALIDOMIDE
rxcui:4301,OMEGA-3 FATTY ACIDS
chembl:CHEMBL190333,RWJ-67657
rxcui:20890,LORNOXICAM
rxcui:5781,INDOMETHACIN
rxcui:7418,NIFLUMIC ACID
rxcui:18747,BALSALAZIDE
drugbank:DB12354,IMRECOXIB
rxcui:28908,LOXOPROFEN
ncit:C923,VACCINE
rxcui:237162,DEXKETOPROFEN
ncit:C80544,ESFLURBIPROFEN
rxcui:166551,RALOXIFENE HYDROCHLORIDE
rxcui:104123,OLSALAZINE SODIUM
rxcui:38253,TIAPROFENIC ACID
ncit:C72119,GLAFENINE
ncit:C77949,DERSALAZINE
chembl:CHEMBL180239,CURCUMIN PYRAZOLE
rxcui:1537943,METAMIZOLE SODIUM
rxcui:9260,RESERPINE
rxcui:1294612,INDOMETHACIN SODIUM
rxcui:5521,HYDROXYCHLOROQUINE
rxcui:16695,ACEMETACIN
rxcui:1426931,URSOLIC ACID
rxcui:24830,FENBUFEN
rxcui:19478,BISMUTH SUBSALICYLATE
rxcui:40968,DICLOFENAC EPOLAMINE
rxcui:1202,ATENOLOL
drugbank:DB15259,VB-201
rxcui:588003,MECLOFENAMATE
rxcui:1191,ASPIRIN
ncit:C61499,NITRIC OXIDE-RELEASING ACETYLSALICYLIC ACID DERIVATIVE
ncit:C65643,FENCLOFENAC
rxcui:81997,DICLOFENAC POTASSIUM
ncit:C77551,CIMICOXIB
rxcui:6693,MEFENAMIC ACID
rxcui:6142,KETOPROFEN
chembl:CHEMBL443095,E163
rxcui:6677,MECLOFENAMATE SODIUM
rxcui:42935,TOLMETIN SODIUM
rxcui:3393,DIFLUNISAL
rxcui:9524,SULFASALAZINE
rxcui:140587,CELECOXIB
rxcui:53694,NIMESULIDE
rxcui:194000,CAPECITABINE
ncit:C170335,POLMACOXIB
rxcui:10256,SURAMIN
drugbank:DB17375,FERRITARG P
rxcui:5879,INTERFERON ALFA-2A
rxcui:9344,RIBAVIRIN
rxcui:5880,INTERFERON ALFA-2B
rxcui:1202,ATENOLOL
rxcui:1256,AZATHIOPRINE
rxcui:103,MERCAPTOPURINE
ncit:C1019,BISANTRENE
rxcui:5487,HYDROCHLOROTHIAZIDE
rxcui:4179,ETOPOSIDE
ncit:C211,THERAPEUTIC CORTICOSTEROID
rxcui:358258,BORTEZOMIB
rxcui:1302966,CARFILZOMIB
rxcui:2099704,TALAZOPARIB
ncit:C2160,PROTEASOME INHIBITOR
rxcui:1723735,IXAZOMIB
ncit:C91388,OPROZOMIB
