id,label
MGI:3044770,Cln3<sup>tm1.1Mem</sup>/Cln3<sup>tm1.1Mem</sup>  [background:] involves: 129S/SvEv * CD-1
MGI:104774,Adra1b
MGI:103293,Ptpn13
MGI:1916625,Btbd9
HP:0000490,Deeply set eye
MGI:107511,Art1
HGNC:11953,TNR
MGI:3051596,Znhit3
HP:0007670,Abnormal vestibulo-ocular reflex
HGNC:60,ABCC9
HP:0000733,Abnormal repetitive mannerisms
dictyBase:DDB_G0276345,naa20
HGNC:4084,GABRD
HP:0100035,Phonic tics
HGNC:7461,MT-ND5
HP:0007067,Distal peripheral sensory neuropathy
HP:0100707,Abnormal astrocyte morphology
HGNC:23792,PLD4
MP:0008143,abnormal dendrite morphology
HP:0007018,Attention deficit hyperactivity disorder
HP:0011384,Abnormality of the internal auditory canal
MONDO:0017174,Machado-Joseph disease type 1
MP:0010504,abnormal RR interval
HP:0031723,Secondary esotropia
HGNC:10683,SDHD
UBERON:0000376,hindlimb stylopod
MGI:1336167,Prkab1
MP:0012284,increased sternebra number
HGNC:15848,SEPTIN6
MP:0000866,cerebellum vermis hypoplasia
MP:0005333,decreased heart rate
MGI:3711319,Psap<sup>tm1Suz</sup>/Psap<sup>tm1Suz</sup>  [background:] involves: 129P2/OlaHsd
HP:0001655,Patent foramen ovale
HGNC:28127,CPLANE2
GO:0048513,animal organ development
MGI:109324,Fadd
HGNC:18809,TUBA1B
HP:0002071,Abnormality of extrapyramidal motor function
HP:0100852,Abnormal fear/anxiety-related behavior
HP:0100315,Lewy bodies
MP:0004372,bowed fibula
HGNC:33164,H3-5
HGNC:3999,FTL
MGI:3039563,Dlgap3
RGD:68337,Htt
MGI:1916847,Afg3l2
MP:0020204,abnormal heart left ventricle weight
HP:0031008,Lingual dystonia
HGNC:2553,CUL3
HP:0000277,Abnormal mandible morphology
MONDO:0010761,retinitis pigmentosa Y-linked
HP:0001387,Joint stiffness
MONDO:0011487,Huntington disease-like 3
UBERON:0003876,hippocampal field
PR:000002064,macrosialin
HGNC:4684,GUCY1A2
MONDO:0009744,neuronal ceroid lipofuscinosis 1
MGI:107430,Gdnf
CL:2000007,articular chondrocyte of knee joint
HP:0011171,Simple febrile seizure
HP:0500075,Dissociated horizontal deviation
UPHENO:0079839,abnormal physiologic nystagmus
MGI:98931,Ezr
HP:0001349,Facial diplegia
HGNC:10597,SCN9A
GO:0051453,regulation of intracellular pH
MP:0008284,abnormal hippocampus pyramidal cell layer
HP:0200127,Atrial cardiomyopathy
HGNC:14938,PIGT
HP:0007332,Focal hemifacial clonic seizure
MGI:5512911,Tpp1<sup>m1J</sup>/Tpp1<sup>m1J</sup>  [background:] STOCK Tpp1<sup>m1J</sup>/GrsrJ
CL:0002319,neural cell
HGNC:9312,PPP2R5D
HP:0002656,Epiphyseal dysplasia
HP:0000651,Diplopia
HGNC:19104,NPHP4
HP:0003383,Onion bulb formation
HGNC:8992,PIN4
HP:0003455,Elevated circulating long chain fatty acid concentration
HP:0000823,Delayed puberty
MGI:1270128,Usp12
HGNC:2980,DNMT3L
MGI:103163,Azgp1
MONDO:0018852,achromatopsia
HP:0000732,Inflexible adherence to routines
HGNC:12362,TSC1
HGNC:17286,EXOSC1
