subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
MGI:3530234,RO:0003301,MONDO:0007739,https://www.ncbi.nlm.nih.gov/pubmed/8898202,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
HGNC:11007,RO:0003303,MONDO:0007739,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,causes condition,NA,http://purl.obolibrary.org/obo/RO_0003303
MGI:2671158,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MONDO:0016621,RO:0002200,HP:0001251,http://purl.obolibrary.org/obo/MONDO_0016621,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5635158,RO:0002200,HP:0001288,https://www.ncbi.nlm.nih.gov/pubmed/25661181,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:5432147,GENO:0000222,MGI:5432192,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
HGNC:4851,RO:0002200,HP:0000741,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0001288,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:11007,RO:0002200,HP:0002067,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MONDO:0007739,RO:0002200,HP:0003107,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2675580,GENO:0000222,MGI:2675620,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has_genotype,NA,http://purl.obolibrary.org/obo/GENO_0000222
HGNC:4851,RO:0002200,HP:0003107,"http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:6294294,RO:0002610,HGNC:4851,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,correlated with,NA,http://purl.obolibrary.org/obo/RO_0002610
MGI:2177755,RO:0002200,HP:0001251,https://www.ncbi.nlm.nih.gov/pubmed/11062468,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:2429756,RO:0002200,HP:0000752,https://www.ncbi.nlm.nih.gov/pubmed/10402204,This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
dbSNPIndividual:21488,RO:0003301,MONDO:0007739,NA,This edge comes from the Monarch Initiative 2022.,2022-06-27,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
MGI:2386951,RO:0002200,HP:0001251,"https://www.ncbi.nlm.nih.gov/pubmed/22511966,19464370,15606898,25760041",This edge comes from the Monarch Initiative 2022.,2022-06-27,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
